app_id,app_title,review_id,review_publish_time,review_score,review_author_user_id,review_author_user_name,device,review_played_spent,up_rating_aspects,down_rating_aspects,review_content_raw_text,comments,review_up_votes,review_down_votes
776320,星布谷地,46442349,2025-09-25 09:44:30,5,491503827,江遇ღ,Realme真我GT6,,[],[],真的很期待，我喜欢玩经营类的游戏，快点公测吧，明年的7月份能不能公测🥺🥺🥺🥺,,5.0,
776320,星布谷地,46442268,2025-09-25 09:34:32,5,420419536,桜绪小南瓜,Vivo X100,,[],[],也是完完整整的玩了米家的每一个游戏，狠狠期待现在的两个新游戏，希望事件流速可以缓慢一些，不要还没玩一会就天黑🌚，还有休闲种田建造就不要整打怪了，整面板刷圣遗物啥的又多一个游戏还是太累了🤓👆,,8.0,
776320,星布谷地,46442265,2025-09-25 09:34:16,4,442792942,小黑,Android 设备,,[],[],最希望这是一款买断制游戏，不要再搞氪金抽卡那一套了，米家游戏的画质真的很不错，但是我讨厌抽卡,10.0,29.0,1.0
776320,星布谷地,46442193,2025-09-25 09:25:45,4,24673547,小白,Android 设备,,[],[],玩过米游崩坏二，这种类似萌画风还是挺合适你公司的，一定要好好优化种地何种作物建模和小动作啊，半社交拜托了。崩坏三和原神那种建模真不合适你。,1.0,9.0,
776320,星布谷地,46442182,2025-09-25 09:24:49,1,25334242,香菜超级报吃,Android 设备,,[],[],就不能先把游戏质量做好再搞新游戏吗？不才搞一个新游戏，这又俩一个，有病吧，游戏质量低成啥了，做的游戏是越来越差,16.0,8.0,13.0
776320,星布谷地,46442094,2025-09-25 09:12:50,1,3490396,杂鸢,Android 设备,,[],[],不抄不会做游戏,3.0,8.0,15.0
776320,星布谷地,46441867,2025-09-25 08:46:12,5,545335824,炻肆,Android 设备,,[],[],期待更好的剧情、玩法 ,,1.0,
776320,星布谷地,46441693,2025-09-25 08:25:44,3,24910471,我居商山,Android 设备,,[],[],测试填问卷要米哈游账号而且还得实名就很无语了，你这样的话干脆只在自家网站招募呗，放出来干嘛,,,
776320,星布谷地,46441656,2025-09-25 08:22:20,2,568347974,团子家族大族长,Android 设备,,[],[],挺能借鉴的，啥都借鉴，然后缝合米家三件套！米铲铲，米露谷物语！这邪教评论区也是控得死死的！,36.0,67.0,41.0
776320,星布谷地,46441596,2025-09-25 08:15:14,5,521601397,月遇星潮,华为TGR-W10,,[],[],3D的话希望能有个一键种地种地的按钮或者先给一张种地蓝图，在蓝图上设定好哪块种什么，然后角色再自己种。,,8.0,
776320,星布谷地,46441382,2025-09-25 07:51:10,5,448443237,kamia,一加手机12,,[],[],期待,,1.0,
776320,星布谷地,46441272,2025-09-25 07:39:21,5,327818397,雪,Android 设备,,[],[],种田经营我期待一下，原神那些太肝了，上大学太忙了，没时间，希望休闲风。画风也很可爱，期待期待😊。另外什么时候上线公测？,,15.0,1.0
776320,星布谷地,46441289,2025-09-25 07:41:21,1,8325744,欧尼酱,iPhone 15 Pro Max,,[],[],这是动森吧。这是不放过任天堂啊,6.0,39.0,13.0
