,review_id,token_count
605,39033268,183
606,39025093,43
607,39025093,43
608,39003535,19
609,38996040,23
610,38990119,22
611,38978220,34
612,38960254,36
613,38936862,43
614,38926974,95
615,38926836,98
616,38902559,96
617,38903473,52
618,38902090,38
619,38893810,90
620,38896863,22
621,38896288,24
622,38895175,16
623,38886903,19
624,38884574,42
625,38881247,61
626,38871506,29
627,38227619,460
628,38851690,29
629,38780862,21
630,38753747,13
631,38741651,16
632,38710230,22
633,38669829,28
634,38669072,26
635,38652693,17
636,38625822,14
637,38569693,66
638,38566230,68
639,38472200,43
640,38451090,129
641,38432461,90
642,38389729,39
643,38380224,26
644,38379400,22
645,38367159,86
646,38365051,16
647,38312241,62
648,38318236,236
649,38309474,41
650,38305387,96
651,38304211,59
652,35392518,43
653,38298366,188
654,38282045,103
655,38091846,41
656,38091571,24
657,38091168,46
658,38090830,51
659,38079897,49
660,38072541,109
661,38059984,51
662,38059663,45
663,38059367,56
664,38058741,47
665,38058387,44
666,38048597,47
667,38048288,51
668,38047855,52
669,38047387,56
670,38046812,47
671,38041184,35
672,38038148,52
673,38036931,57
674,38036692,54
675,38036498,51
676,38036246,54
677,38034629,70
678,38029909,83
679,38028274,46
680,38028120,52
681,38027698,46
682,38027501,49
683,38020746,50
684,38020602,50
685,38020451,46
686,38020148,47
687,38019909,45
688,38009804,53
689,38009469,50
690,38009218,48
691,38008316,67
692,38007097,58
693,37998582,47
694,37997139,55
695,37996292,47
696,37995945,50
697,37992197,35
698,37991666,13
699,35631039,801
700,37989474,11
701,37989264,23
702,37988997,55
703,37988141,52
704,37988043,76
705,37987779,52
706,37986277,53
707,37985384,53
708,37985207,12
709,37981743,63
710,37975768,29
711,37966951,55
712,37966639,57
713,37966537,52
714,37966343,52
715,37966193,58
716,37956984,55
717,37956019,53
718,37955928,43
719,37955799,61
720,37954612,33
721,37937845,60
722,37935256,46
723,37930028,53
724,37927391,58
725,37926560,56
726,37923654,76
727,37919517,17
728,37919243,57
729,37917173,54
730,37916529,53
731,37914071,45
732,37910950,38
733,37910732,15
734,37908755,9
735,37864002,38
736,37860939,28
737,37849189,49
738,37836896,69
739,37836895,69
740,37836894,64
741,37836744,56
742,37835575,19
743,37830980,32
744,37828965,61
745,37828958,60
746,37828955,52
747,37826898,36
748,37826617,78
749,37820955,33
750,37817203,72
751,37814724,65
752,37814721,58
753,37814710,59
754,37803285,71
755,37803280,63
756,37795633,41
757,37795385,66
758,37793985,64
759,37793742,61
760,37793687,62
761,37793664,63
762,37783713,62
763,37783465,61
764,37783463,61
765,37783454,53
766,37783440,68
767,37778970,44
768,37775781,15
769,37772520,56
770,37772498,65
771,37772104,68
772,37772092,50
773,37772044,57
774,37772023,51
775,37768037,57
776,37620231,288
777,37763458,40
778,37760997,59
779,37760649,73
780,37760427,59
781,37760310,25
782,37735065,64
783,37734724,65
784,37734490,30
785,37733386,366
786,37732720,17
787,37731970,14
788,37728962,24
789,37724704,103
790,37717626,25
791,37717464,64
792,37716012,30
793,37710823,65
794,37710745,65
795,37710699,71
796,37710645,61
797,37710590,48
798,37710056,214
799,37708184,77
800,37707877,77
801,37707876,66
802,37695172,81
803,37615182,505
804,37693451,25
805,37687306,17
806,37687257,63
807,37684560,66
808,37682409,41
809,37678728,69
810,37678648,50
811,36472672,349
812,37677880,66
813,37677865,70
814,37677859,60
815,37677394,52
816,37676972,78
817,37676637,142
818,37676141,153
819,37673471,136
820,37669681,30
821,37669393,35
822,37669303,53
823,37668231,66
824,35488172,22
825,37663718,15
826,37660747,14
827,37660149,104
828,37658668,159
829,37658565,34
830,37403254,117
831,37656064,83
832,37654955,15
833,34862259,23
834,37652888,50
835,37650509,49
836,37650217,58
837,37649422,37
838,37646452,41
839,37639016,55
840,37636221,44
841,37634905,116
842,37634156,14
843,37632997,26
844,37630404,29
845,37628567,71
846,37628025,59
847,37627799,71
848,37626582,34
849,37611643,61
850,37617828,34
851,37232365,141
852,35475783,16
853,34589427,200
854,37596749,97
855,37593875,14
856,37587253,55
857,37580278,69
858,37580266,59
859,37579860,9
860,37576178,55
861,37574801,45
862,37574065,39
863,37571886,214
864,37571570,11
865,37569284,69
866,37569102,69
867,37569100,79
868,37569092,80
869,37569091,55
870,37569089,63
871,37565531,40
872,37519209,322
873,37511850,31
874,37467954,52
875,37420432,65
876,37420381,63
877,35274376,118
878,37413071,76
879,37404033,15
880,37399545,14
881,37388436,35
882,37388048,75
883,37385510,116
884,37385272,59
885,37375352,70
886,37373828,41
887,37372737,37
888,37359423,65
889,37359393,54
890,37359355,63
891,37359340,67
892,37352189,66
893,37349876,66
894,37349813,57
895,37349785,70
896,37344640,11
897,37333901,66
898,37333840,63
899,37333819,67
900,37331310,205
901,37324321,9
902,37317834,57
903,37317804,57
904,37317787,64
905,37317774,58
906,37317754,63
907,37181117,35
908,37176012,101
909,37156409,20
